,상호명,지점명,대분류,중분류,소분류,시도명,시군구명,행정동명,법정동명,지번주소,경도,위도
595,GS,천호삼성점,소매,종합소매점,편의점,서울특별시,강동구,천호3동,천호동,서울특별시 강동구 천호동 169-13,127.13436013563299,37.5382469032212
867,CU역삼달샘점,역삼달샘점,소매,종합소매점,편의점,서울특별시,강남구,역삼1동,역삼동,서울특별시 강남구 역삼동 637-9,127.032798678569,37.501885197674106
920,세븐일레븐대치코스모스점B,,소매,종합소매점,편의점,서울특별시,강남구,대치2동,대치동,서울특별시 강남구 대치동 1001-6,127.06489028222401,37.5077932234843
1016,까치마트,,소매,종합소매점,편의점,서울특별시,강서구,화곡1동,화곡동,서울특별시 강서구 화곡동 343-2,126.846173942403,37.5321425176074
1104,GS25안암학사,,소매,종합소매점,편의점,서울특별시,성북구,안암동,안암동5가,서울특별시 성북구 안암동5가 1-2,127.030957744251,37.5864875767796
1108,GS25,자양한강점,소매,종합소매점,편의점,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 자양동 81,127.06450386077299,37.534218085491204
1243,비지에프리테일서울산업대제2학생회관점,,소매,종합소매점,편의점,서울특별시,노원구,공릉2동,공릉동,서울특별시 노원구 공릉동 172,127.07677110345199,37.6330692342399
1583,CU,편의점,소매,종합소매점,편의점,서울특별시,영등포구,신길4동,신길동,서울특별시 영등포구 신길동 236,126.911380170782,37.505532095816
1830,미니스톱등촌청림점,등촌청림점,소매,종합소매점,편의점,서울특별시,강서구,등촌1동,등촌동,서울특별시 강서구 등촌동 641-11,126.855787640067,37.556798280996496
1942,세븐일레븐,무교3호점,소매,종합소매점,편의점,서울특별시,중구,명동,다동,서울특별시 중구 다동 92,126.98170898832701,37.567853948186205
2023,지에스25용마파크,,소매,종합소매점,편의점,서울특별시,중랑구,면목4동,면목동,서울특별시 중랑구 면목동 1502-2,127.088467429783,37.5751960558954
2204,GS25,강남신성점,소매,종합소매점,편의점,서울특별시,강남구,역삼1동,역삼동,서울특별시 강남구 역삼동 819,127.028185267629,37.4991892220306
2221,미니스톱,신사현대점,소매,종합소매점,편의점,서울특별시,강남구,신사동,신사동,서울특별시 강남구 신사동 583-3,127.02789685336398,37.5240469060232
2231,CU,응암중앙점,소매,종합소매점,편의점,서울특별시,은평구,응암1동,응암동,서울특별시 은평구 응암동 110-1,126.920696586775,37.5999293622687
2237,세븐일레븐,,소매,종합소매점,편의점,서울특별시,구로구,구로5동,구로동,서울특별시 구로구 구로동 442-179,126.887975925104,37.496600979715204
2278,편의점사랑,,소매,종합소매점,편의점,서울특별시,성동구,왕십리도선동,도선동,서울특별시 성동구 도선동 311-25,127.032461889836,37.5638747012339
2355,미니스톱,디지털타워점,소매,종합소매점,편의점,서울특별시,성동구,성수2가1동,성수동2가,서울특별시 성동구 성수동2가 308-4,127.05185095988399,37.5424969474925
2374,씨유대치우일,,소매,종합소매점,편의점,서울특별시,강남구,대치4동,대치동,서울특별시 강남구 대치동 907,127.05081332246999,37.5011482892563
2394,GS25강남센타,,소매,종합소매점,편의점,서울특별시,서초구,서초4동,서초동,서울특별시 서초구 서초동 1303-22,127.02408842294201,37.503750825160296
2401,미니스톰논현힐탑점,논현힐탑점,소매,종합소매점,편의점,서울특별시,강남구,논현1동,논현동,서울특별시 강남구 논현동 175-1,127.03203063859199,37.510565069732706
2420,세븐일레븐,논현11호점,소매,종합소매점,편의점,서울특별시,강남구,논현2동,논현동,서울특별시 강남구 논현동 111-29,127.04056639872499,37.517960277755
2484,미니스톱논현역2점,논현역2점,소매,종합소매점,편의점,서울특별시,서초구,반포1동,반포동,서울특별시 서초구 반포동 706-10,127.02111583014299,37.510529182003104
2619,CU,목동5단지점,소매,종합소매점,편의점,서울특별시,양천구,목5동,목동,서울특별시 양천구 목동 912,126.88185960560101,37.5351438670885
2690,개그스토리편의점,,소매,종합소매점,편의점,서울특별시,강남구,논현1동,논현동,서울특별시 강남구 논현동 5-4,127.023751162943,37.5174890970778
2722,씨유장안플러스,,소매,종합소매점,편의점,서울특별시,동대문구,장안1동,장안동,서울특별시 동대문구 장안동 430-2,127.066887724647,37.5653682273567
2754,인더라인25,,소매,종합소매점,편의점,서울특별시,양천구,신정4동,신정동,서울특별시 양천구 신정동 942-13,126.851032757964,37.5244409716545
2866,지에스25신월유진,,소매,종합소매점,편의점,서울특별시,양천구,신월7동,신월동,서울특별시 양천구 신월동 963-12,126.83504321963001,37.5217974662386
2965,신한편의점,,소매,종합소매점,편의점,서울특별시,금천구,가산동,가산동,서울특별시 금천구 가산동 371-59,126.88184149488998,37.4787293980852
3105,GS25가락타운,,소매,종합소매점,편의점,서울특별시,송파구,가락본동,가락동,서울특별시 송파구 가락동 76,127.120757089755,37.495985876438205
3379,토마토24시,,소매,종합소매점,편의점,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 중곡동 116-4,127.088165918431,37.5544245416751
4311,비지에프휴먼넷훼미리마트,서울대정문점,소매,종합소매점,편의점,서울특별시,관악구,대학동,신림동,서울특별시 관악구 신림동 808-124,126.94764035541,37.4668902513176
4440,세븐일레븐신촌연세점,신촌연세점,소매,종합소매점,편의점,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 창천동 91-6,126.93330997795,37.560407463722
