,상호명,지점명,대분류,중분류,소분류,시도명,시군구명,행정동명,법정동명,지번주소,경도,위도
367,메가마트물류센터,,소매,종합소매점,수퍼마켓,서울특별시,금천구,시흥3동,시흥동,서울특별시 금천구 시흥동 984-33,126.90156067882299,37.44079088740521
441,훼밀리마트,신사중앙점,소매,종합소매점,수퍼마켓,서울특별시,강남구,압구정동,신사동,서울특별시 강남구 신사동 588-14,127.031232578429,37.5215513704072
478,양평슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,광진구,군자동,군자동,서울특별시 광진구 군자동 349-9,127.07003971426,37.5512916803243
591,롯데슈퍼,행당점,소매,종합소매점,수퍼마켓,서울특별시,성동구,행당1동,행당동,서울특별시 성동구 행당동 140,127.03545581750299,37.5581685449559
791,제일슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,금천구,시흥4동,시흥동,서울특별시 금천구 시흥동 817-29,126.907510765982,37.4559206637157
806,뉴디즈니,,소매,종합소매점,수퍼마켓,서울특별시,구로구,오류2동,오류동,서울특별시 구로구 오류동 297-6,126.837768263329,37.487593818712895
1037,아시아마트,,소매,종합소매점,수퍼마켓,서울특별시,금천구,가산동,가산동,서울특별시 금천구 가산동 148-12,126.895453380427,37.475712777963096
1203,에이스힐인마트,,소매,종합소매점,수퍼마켓,서울특별시,서초구,서초1동,서초동,서울특별시 서초구 서초동 1638-11,127.019549316577,37.494522481755794
1237,삼성마트,,소매,종합소매점,수퍼마켓,서울특별시,강남구,삼성2동,삼성동,서울특별시 강남구 삼성동 34-25,127.043225318433,37.512602556396104
1270,롯데쇼핑롯데마켓999점,,소매,종합소매점,수퍼마켓,서울특별시,강남구,역삼2동,역삼동,서울특별시 강남구 역삼동 770-11,127.041909982548,37.4969225450619
1693,장한평유통,,소매,종합소매점,수퍼마켓,서울특별시,동대문구,장안1동,장안동,서울특별시 동대문구 장안동 166-1,127.06651999108699,37.5694380548118
1826,롯데슈퍼,쌍문4동가맹점,소매,종합소매점,수퍼마켓,서울특별시,도봉구,쌍문4동,쌍문동,서울특별시 도봉구 쌍문동 311,127.02878304880899,37.65098396885529
1842,하나수퍼,,소매,종합소매점,수퍼마켓,서울특별시,양천구,신정3동,신정동,서울특별시 양천구 신정동 1197-1,126.848824288038,37.5216532786636
2082,홈플러스익스프레스도화점,도화점,소매,종합소매점,수퍼마켓,서울특별시,마포구,도화동,도화동,서울특별시 마포구 도화동 353,126.951112706768,37.53870769240179
2214,태왕식품코사마트,,소매,종합소매점,수퍼마켓,서울특별시,성동구,왕십리도선동,도선동,서울특별시 성동구 도선동 210,127.03384068037701,37.5631651561696
2413,관악드림마트,,소매,종합소매점,수퍼마켓,서울특별시,관악구,성현동,봉천동,서울특별시 관악구 봉천동 1712,126.952972416923,37.4898423775944
2415,수협바다마트신도림점,신도림점,소매,종합소매점,수퍼마켓,서울특별시,구로구,신도림동,신도림동,서울특별시 구로구 신도림동 644,126.885177066432,37.5091441600635
2495,하나로마트,청담점,소매,종합소매점,수퍼마켓,서울특별시,강남구,역삼2동,역삼동,서울특별시 강남구 역삼동 708-4,127.048144102601,37.5038299791161
2529,하모니마트정육점,,소매,종합소매점,수퍼마켓,서울특별시,금천구,가산동,가산동,서울특별시 금천구 가산동 151-30,126.89314187016701,37.476060576026
2577,다채할인마트,,소매,종합소매점,수퍼마켓,서울특별시,강북구,삼각산동,미아동,서울특별시 강북구 미아동 887-5,127.01547604524299,37.619418569166
2786,홈플러스익스프레스,중곡점,소매,종합소매점,수퍼마켓,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 중곡동 157-1,127.080023129923,37.5576141668195
3041,올림픽마트,,소매,종합소매점,수퍼마켓,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 구의동 251-126,127.08405745497801,37.5396335151877
3104,내츄랜드아시아점,아시아점,소매,종합소매점,수퍼마켓,서울특별시,송파구,잠실7동,잠실동,서울특별시 송파구 잠실동 85,127.076702140859,37.5084357864704
3129,새마을마트,,소매,종합소매점,수퍼마켓,서울특별시,마포구,망원1동,망원동,서울특별시 마포구 망원동 457-2,126.90195382023,37.5537136197396
3160,풀마트,,소매,종합소매점,수퍼마켓,서울특별시,성동구,마장동,마장동,서울특별시 성동구 마장동 478-38,127.037340699252,37.5700146623168
3339,수방사헌병단마트,,소매,종합소매점,수퍼마켓,서울특별시,관악구,남현동,남현동,서울특별시 관악구 남현동 산100-14,126.987256235772,37.4665336035466
3761,롯데마켓999,,소매,종합소매점,수퍼마켓,서울특별시,강남구,대치2동,대치동,서울특별시 강남구 대치동 1000-12,127.065706936393,37.507610463891204
3861,승가슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,성북구,안암동,안암동5가,서울특별시 성북구 안암동5가 12-81,127.029362158548,37.589033425591396
3989,삼양미니슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,동대문구,이문1동,이문동,서울특별시 동대문구 이문동 115-37,127.06601237489201,37.5982945099964
4082,현진할인마트,,소매,종합소매점,수퍼마켓,서울특별시,강서구,공항동,공항동,서울특별시 강서구 공항동 59-37,126.811162172817,37.5574295806848
4303,건영슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,노원구,상계3.4동,상계동,서울특별시 노원구 상계동 1321,127.05600363448099,37.6778304378934
4457,한신그린마트,,소매,종합소매점,수퍼마켓,서울특별시,동대문구,청량리동,청량리동,서울특별시 동대문구 청량리동 60,127.049212981348,37.5880236430842
