시군구명,법정동명,매장수
강남구,개포동,42
강남구,논현동,141
강남구,대치동,145
강남구,도곡동,53
강남구,삼성동,80
강남구,세곡동,6
강남구,수서동,14
강남구,신사동,79
강남구,압구정동,11
강남구,역삼동,259
강남구,율현동,4
강남구,일원동,23
강남구,자곡동,16
강남구,청담동,52
강동구,강일동,11
강동구,고덕동,18
강동구,길동,48
강동구,둔촌동,24
강동구,명일동,24
강동구,상일동,19
강동구,성내동,61
강동구,암사동,49
강동구,천호동,90
강북구,미아동,96
강북구,번동,39
강북구,수유동,76
강북구,우이동,12
강서구,가양동,32
강서구,개화동,1
강서구,공항동,22
강서구,과해동,1
강서구,내발산동,29
강서구,등촌동,68
강서구,마곡동,89
강서구,방화동,45
강서구,염창동,25
강서구,외발산동,1
강서구,화곡동,191
관악구,남현동,20
관악구,봉천동,169
관악구,신림동,205
광진구,광장동,29
광진구,구의동,92
광진구,군자동,42
광진구,능동,37
광진구,자양동,112
광진구,중곡동,106
광진구,화양동,84
구로구,가리봉동,14
구로구,개봉동,35
구로구,고척동,32
구로구,구로동,134
구로구,궁동,9
구로구,신도림동,25
구로구,오류동,36
구로구,온수동,14
구로구,천왕동,9
구로구,항동,1
금천구,가산동,84
금천구,독산동,82
금천구,시흥동,74
노원구,공릉동,68
노원구,상계동,120
노원구,월계동,57
노원구,중계동,42
노원구,하계동,18
도봉구,도봉동,39
도봉구,방학동,38
도봉구,쌍문동,58
도봉구,창동,83
동대문구,답십리동,42
동대문구,신설동,12
동대문구,용두동,28
동대문구,이문동,48
동대문구,장안동,91
동대문구,전농동,39
동대문구,제기동,30
동대문구,청량리동,13
동대문구,회기동,25
동대문구,휘경동,41
동작구,노량진동,47
동작구,대방동,35
동작구,동작동,3
동작구,본동,6
동작구,사당동,70
동작구,상도1동,18
동작구,상도동,70
동작구,신대방동,30
동작구,흑석동,18
마포구,공덕동,18
마포구,구수동,1
마포구,노고산동,21
마포구,당인동,1
마포구,대흥동,22
마포구,도화동,16
마포구,동교동,22
마포구,마포동,3
마포구,망원동,29
마포구,상수동,24
마포구,상암동,47
마포구,서교동,65
마포구,성산동,41
마포구,신공덕동,8
마포구,신수동,14
마포구,아현동,16
마포구,연남동,26
마포구,염리동,10
마포구,용강동,6
마포구,중동,8
마포구,창전동,9
마포구,토정동,1
마포구,합정동,29
마포구,현석동,4
서대문구,남가좌동,28
서대문구,냉천동,4
서대문구,대신동,5
서대문구,대현동,29
서대문구,미근동,4
서대문구,북가좌동,34
서대문구,북아현동,15
서대문구,신촌동,6
서대문구,연희동,27
서대문구,영천동,2
서대문구,창천동,47
서대문구,천연동,3
서대문구,충정로2가,12
서대문구,충정로3가,12
서대문구,합동,2
서대문구,현저동,7
서대문구,홍은동,34
서대문구,홍제동,24
서초구,내곡동,4
서초구,반포동,79
서초구,방배동,103
서초구,서초동,163
서초구,신원동,9
서초구,양재동,57
서초구,염곡동,2
서초구,우면동,16
서초구,원지동,1
서초구,잠원동,32
성동구,금호동1가,8
성동구,금호동2가,8
성동구,금호동3가,5
성동구,금호동4가,8
성동구,도선동,13
성동구,마장동,19
성동구,사근동,10
성동구,상왕십리동,3
성동구,성수동1가,45
성동구,성수동2가,60
성동구,송정동,6
성동구,옥수동,13
성동구,용답동,20
성동구,응봉동,2
성동구,하왕십리동,17
성동구,행당동,45
성동구,홍익동,2
성북구,길음동,34
성북구,돈암동,12
성북구,동선동1가,9
성북구,동선동2가,6
성북구,동선동3가,9
성북구,동선동4가,9
성북구,동선동5가,2
성북구,동소문동1가,6
성북구,동소문동2가,2
성북구,동소문동3가,2
성북구,동소문동4가,6
성북구,동소문동5가,8
성북구,동소문동6가,5
성북구,동소문동7가,1
성북구,보문동1가,5
성북구,보문동2가,4
성북구,보문동3가,1
성북구,보문동4가,1
성북구,보문동5가,3
성북구,보문동6가,4
성북구,보문동7가,1
성북구,삼선동1가,4
성북구,삼선동2가,7
성북구,삼선동3가,1
성북구,삼선동4가,3
성북구,삼선동5가,5
성북구,상월곡동,6
성북구,석관동,24
성북구,성북동,11
성북구,성북동1가,7
성북구,안암동1가,3
성북구,안암동2가,4
성북구,안암동3가,7
성북구,안암동4가,3
성북구,안암동5가,50
성북구,장위동,29
성북구,정릉동,53
성북구,종암동,28
성북구,하월곡동,34
송파구,가락동,52
송파구,거여동,22
송파구,마천동,19
송파구,문정동,72
송파구,방이동,53
송파구,삼전동,25
송파구,석촌동,38
송파구,송파동,25
송파구,신천동,41
송파구,오금동,20
송파구,잠실동,76
송파구,장지동,14
송파구,풍납동,20
양천구,목동,116
양천구,신월동,65
양천구,신정동,94
영등포구,당산동,13
영등포구,당산동1가,8
영등포구,당산동2가,8
영등포구,당산동3가,15
영등포구,당산동4가,12
영등포구,당산동5가,6
영등포구,당산동6가,9
영등포구,대림동,51
영등포구,도림동,13
영등포구,문래동1가,2
영등포구,문래동2가,2
영등포구,문래동3가,16
영등포구,문래동4가,6
영등포구,문래동5가,7
영등포구,문래동6가,7
영등포구,신길동,69
영등포구,양평동,1
영등포구,양평동1가,5
영등포구,양평동2가,8
영등포구,양평동3가,15
영등포구,양평동4가,11
영등포구,양평동5가,8
영등포구,양평동6가,2
영등포구,양화동,1
영등포구,여의도동,80
영등포구,영등포동,13
영등포구,영등포동1가,6
영등포구,영등포동2가,9
영등포구,영등포동3가,19
영등포구,영등포동4가,26
영등포구,영등포동5가,6
영등포구,영등포동6가,5
영등포구,영등포동7가,18
영등포구,영등포동8가,10
용산구,갈월동,10
용산구,남영동,5
용산구,동빙고동,6
용산구,동자동,14
용산구,문배동,7
용산구,보광동,9
용산구,산천동,1
용산구,서계동,9
용산구,서빙고동,2
용산구,신계동,3
용산구,신창동,2
용산구,용문동,3
용산구,용산동1가,2
용산구,용산동2가,12
용산구,용산동4가,1
용산구,용산동5가,3
용산구,용산동6가,1
용산구,원효로1가,7
용산구,원효로2가,7
용산구,원효로3가,3
용산구,원효로4가,2
용산구,이촌동,17
용산구,이태원동,44
용산구,청암동,1
용산구,청파동1가,3
용산구,청파동2가,6
용산구,청파동3가,5
용산구,한강로1가,6
용산구,한강로2가,16
용산구,한강로3가,16
용산구,한남동,35
용산구,효창동,8
용산구,후암동,14
은평구,갈현동,65
은평구,구산동,21
은평구,녹번동,31
은평구,대조동,34
은평구,불광동,45
은평구,신사동,22
은평구,역촌동,41
은평구,응암동,47
은평구,증산동,10
은평구,진관동,51
종로구,경운동,3
종로구,계동,6
종로구,공평동,2
종로구,관수동,3
종로구,관철동,12
종로구,관훈동,3
종로구,교남동,3
종로구,교북동,1
종로구,구기동,5
종로구,권농동,1
종로구,낙원동,4
종로구,내수동,1
종로구,내자동,2
종로구,누상동,3
종로구,누하동,3
종로구,당주동,4
종로구,도렴동,2
종로구,돈의동,1
종로구,동숭동,12
종로구,명륜1가,5
종로구,명륜2가,4
종로구,명륜3가,8
종로구,명륜4가,8
종로구,무악동,5
종로구,부암동,5
종로구,사직동,1
종로구,삼청동,3
종로구,서린동,3
종로구,세종로,1
종로구,소격동,4
종로구,수송동,4
종로구,숭인동,31
종로구,신문로1가,3
종로구,신문로2가,3
종로구,신영동,5
종로구,안국동,6
종로구,연건동,9
종로구,연지동,2
종로구,예지동,3
종로구,옥인동,1
종로구,와룡동,3
종로구,운니동,1
종로구,원남동,1
종로구,원서동,3
종로구,이화동,2
종로구,익선동,3
종로구,인사동,1
종로구,인의동,6
종로구,장사동,1
종로구,재동,1
종로구,종로1가,1
종로구,종로2가,2
종로구,종로3가,3
종로구,종로4가,2
종로구,종로5가,7
종로구,종로6가,7
종로구,중학동,3
종로구,창신동,15
종로구,청운동,1
종로구,청진동,7
종로구,체부동,1
종로구,충신동,1
종로구,통의동,2
종로구,평동,3
종로구,평창동,12
종로구,필운동,2
종로구,행촌동,3
종로구,혜화동,4
종로구,홍지동,9
종로구,홍파동,2
종로구,효제동,6
중구,광희동1가,5
중구,광희동2가,4
중구,남대문로3가,1
중구,남대문로4가,4
중구,남대문로5가,18
중구,남산동1가,4
중구,남산동2가,3
중구,남산동3가,1
중구,남창동,7
중구,다동,8
중구,만리동1가,2
중구,만리동2가,3
중구,명동1가,3
중구,명동2가,7
중구,무교동,3
중구,무학동,2
중구,묵정동,6
중구,봉래동1가,1
중구,봉래동2가,3
중구,북창동,3
중구,산림동,1
중구,서소문동,9
중구,소공동,7
중구,수표동,4
중구,수하동,1
중구,순화동,10
중구,신당동,83
중구,쌍림동,6
중구,예장동,1
중구,오장동,2
중구,을지로1가,2
중구,을지로2가,9
중구,을지로3가,7
중구,을지로4가,2
중구,을지로5가,1
중구,을지로6가,7
중구,을지로7가,1
중구,의주로1가,1
중구,장교동,3
중구,장충동1가,3
중구,장충동2가,15
중구,저동1가,2
중구,저동2가,6
중구,정동,4
중구,주교동,2
중구,중림동,8
중구,초동,4
중구,충무로1가,5
중구,충무로2가,13
중구,충무로3가,7
중구,충무로5가,7
중구,태평로1가,5
중구,태평로2가,8
중구,필동1가,2
중구,필동2가,7
중구,필동3가,5
중구,황학동,8
중구,회현동1가,11
중구,회현동2가,3
중구,회현동3가,2
중구,흥인동,10
중랑구,망우동,33
중랑구,면목동,94
중랑구,묵동,36
중랑구,상봉동,42
중랑구,신내동,21
중랑구,중화동,38
