시군구명,법정동명,매장수
강남구,개포동,24
강남구,논현동,59
강남구,대치동,56
강남구,도곡동,32
강남구,삼성동,24
강남구,세곡동,7
강남구,수서동,8
강남구,신사동,28
강남구,압구정동,4
강남구,역삼동,82
강남구,일원동,18
강남구,자곡동,3
강남구,청담동,15
강동구,강일동,4
강동구,고덕동,11
강동구,길동,24
강동구,둔촌동,9
강동구,명일동,13
강동구,상일동,10
강동구,성내동,22
강동구,암사동,23
강동구,천호동,54
강북구,미아동,61
강북구,번동,33
강북구,수유동,42
강북구,우이동,10
강서구,가양동,24
강서구,개화동,1
강서구,공항동,11
강서구,내발산동,16
강서구,등촌동,47
강서구,마곡동,4
강서구,방화동,18
강서구,염창동,9
강서구,오쇠동,2
강서구,외발산동,4
강서구,화곡동,86
관악구,남현동,15
관악구,봉천동,112
관악구,신림동,128
광진구,광장동,25
광진구,구의동,50
광진구,군자동,25
광진구,능동,6
광진구,자양동,64
광진구,중곡동,107
광진구,화양동,13
구로구,가리봉동,13
구로구,개봉동,31
구로구,고척동,28
구로구,구로동,88
구로구,궁동,5
구로구,신도림동,11
구로구,오류동,29
구로구,온수동,4
구로구,천왕동,4
구로구,항동,3
금천구,가산동,32
금천구,독산동,66
금천구,시흥동,86
노원구,공릉동,35
노원구,상계동,74
노원구,월계동,47
노원구,중계동,49
노원구,하계동,15
도봉구,도봉동,33
도봉구,방학동,36
도봉구,쌍문동,41
도봉구,창동,49
동대문구,답십리동,24
동대문구,신설동,3
동대문구,용두동,19
동대문구,이문동,35
동대문구,장안동,74
동대문구,전농동,27
동대문구,제기동,41
동대문구,청량리동,20
동대문구,회기동,10
동대문구,휘경동,30
동작구,노량진동,18
동작구,대방동,14
동작구,동작동,5
동작구,본동,4
동작구,사당동,39
동작구,상도1동,5
동작구,상도동,31
동작구,신대방동,18
동작구,흑석동,10
마포구,공덕동,14
마포구,구수동,2
마포구,노고산동,13
마포구,대흥동,1
마포구,도화동,9
마포구,동교동,2
마포구,마포동,2
마포구,망원동,14
마포구,상수동,5
마포구,상암동,4
마포구,서교동,14
마포구,성산동,14
마포구,신공덕동,3
마포구,신수동,5
마포구,아현동,12
마포구,연남동,7
마포구,염리동,8
마포구,용강동,2
마포구,중동,2
마포구,창전동,3
마포구,토정동,1
마포구,합정동,7
마포구,현석동,1
서대문구,남가좌동,9
서대문구,냉천동,1
서대문구,대신동,4
서대문구,대현동,9
서대문구,봉원동,1
서대문구,북가좌동,15
서대문구,북아현동,13
서대문구,신촌동,1
서대문구,연희동,15
서대문구,영천동,3
서대문구,옥천동,3
서대문구,창천동,18
서대문구,천연동,1
서대문구,충정로2가,1
서대문구,충정로3가,11
서대문구,현저동,2
서대문구,홍은동,22
서대문구,홍제동,24
서초구,내곡동,4
서초구,반포동,32
서초구,방배동,47
서초구,서초동,45
서초구,신원동,2
서초구,양재동,21
서초구,우면동,9
서초구,원지동,1
서초구,잠원동,16
성동구,금호동1가,5
성동구,금호동2가,4
성동구,금호동3가,7
성동구,금호동4가,6
성동구,도선동,9
성동구,마장동,11
성동구,사근동,5
성동구,상왕십리동,1
성동구,성수동1가,16
성동구,성수동2가,23
성동구,송정동,6
성동구,옥수동,8
성동구,용답동,13
성동구,응봉동,6
성동구,하왕십리동,17
성동구,행당동,12
성동구,홍익동,3
성북구,길음동,33
성북구,돈암동,14
성북구,동선동1가,2
성북구,동선동2가,3
성북구,동선동3가,1
성북구,동선동4가,1
성북구,동선동5가,1
성북구,동소문동1가,1
성북구,동소문동2가,1
성북구,동소문동3가,3
성북구,동소문동4가,1
성북구,동소문동5가,2
성북구,동소문동7가,2
성북구,보문동1가,5
성북구,보문동2가,3
성북구,보문동4가,1
성북구,보문동5가,2
성북구,보문동6가,1
성북구,보문동7가,1
성북구,삼선동1가,2
성북구,삼선동2가,4
성북구,삼선동3가,3
성북구,삼선동4가,1
성북구,삼선동5가,4
성북구,상월곡동,4
성북구,석관동,11
성북구,성북동,6
성북구,성북동1가,1
성북구,안암동1가,2
성북구,안암동2가,2
성북구,안암동3가,3
성북구,안암동5가,7
성북구,장위동,25
성북구,정릉동,45
성북구,종암동,20
성북구,하월곡동,22
송파구,가락동,18
송파구,거여동,6
송파구,마천동,22
송파구,문정동,15
송파구,방이동,14
송파구,삼전동,7
송파구,석촌동,9
송파구,송파동,11
송파구,신천동,19
송파구,오금동,17
송파구,잠실동,33
송파구,장지동,6
송파구,풍납동,15
양천구,목동,46
양천구,신월동,53
양천구,신정동,60
영등포구,당산동,4
영등포구,당산동1가,5
영등포구,당산동2가,6
영등포구,당산동3가,3
영등포구,당산동4가,6
영등포구,당산동5가,4
영등포구,대림동,35
영등포구,도림동,14
영등포구,문래동1가,1
영등포구,문래동2가,3
영등포구,문래동3가,2
영등포구,문래동4가,3
영등포구,문래동5가,2
영등포구,문래동6가,4
영등포구,신길동,57
영등포구,양평동1가,5
영등포구,양평동2가,3
영등포구,양평동3가,3
영등포구,양평동4가,6
영등포구,양평동5가,5
영등포구,양평동6가,2
영등포구,여의도동,28
영등포구,영등포동,8
영등포구,영등포동2가,3
영등포구,영등포동3가,2
영등포구,영등포동4가,6
영등포구,영등포동5가,7
영등포구,영등포동6가,6
영등포구,영등포동7가,7
영등포구,영등포동8가,1
용산구,갈월동,3
용산구,남영동,2
용산구,도원동,3
용산구,동빙고동,8
용산구,문배동,1
용산구,보광동,9
용산구,산천동,1
용산구,서계동,8
용산구,서빙고동,2
용산구,신계동,6
용산구,용문동,4
용산구,용산동2가,7
용산구,용산동3가,1
용산구,용산동6가,2
용산구,원효로1가,5
