,영화관명,소재지주소,도로명주소,위도,경도
0,CGV 강남,서울특별시 강남구 역삼동 814-6번지 스타플렉스 6층,"서울특별시 강남구 강남대로 438 (역삼동, 스타플렉스)",37.5016624999999,127.0263628
1,CGV 강동,서울특별시 강동구 성내동 549-1번지,서울특별시 강동구 성내로 48 (성내동),37.5284053,127.125350799999
2,CGV 강변,서울특별시 광진구 구의동 546-4번지 테크노마트10층,"서울특별시 광진구 광나루로56길 85, 10층 (구의동, 테크노마트)",37.5351173,127.095775099999
3,CGV 건대입구,서울특별시 광진구 자양동 9-4번지 몰오브케이,"서울특별시 광진구 아차산로30길 26, 몰오브케이 3층 (자양동)",37.5396907,127.066937999999
4,CGV 구로,서울특별시 구로구 구로동 573번지,서울특별시 구로구 구로중앙로 152 (구로동),37.5012056,126.8827953
5,CGV 대학로,서울특별시 종로구 명륜2가 41-9번지 지하3층,"서울특별시 종로구 대명길 28 (명륜2가,지하3층)",37.583422,126.999827999999
6,CGV 동대문,서울특별시 중구 을지로6가 17-2번지 현대시티타워,"서울특별시 중구 장충단로13길 20, 현대시티타워 10층 (을지로6가)",37.5686986,127.0076666
7,CGV 명동,서울특별시 중구 명동2가 83-5번지 아바타빌딩 8층,"서울특별시 중구 명동길 14 (명동2가,아바타빌딩 8층)",37.5633734,126.982886199999
8,CGV 명동역,서울특별시 중구 충무로2가 65-9번지,서울특별시 중구 퇴계로 123 (충무로2가),37.5619628,126.988596499999
9,CGV 목동,서울특별시 양천구 목동 916번지 현대백화점 지하2층,"서울특별시 양천구 목동동로 257 (목동,현대백화점 지하2층)",37.526814,126.875021
10,CGV 미아,서울특별시 강북구 미아동 35-4번지 트레지오 쇼핑몰 9층,"서울특별시 강북구 도봉로 34, 9층 (미아동, 트레지오빌딩)",37.6120557,127.030738899999
11,CGV 불광,서울특별시 은평구 대조동 240번지 팜스퀘어,"서울특별시 은평구 불광로 20, 11층 (대조동, 팜스퀘어)",37.6097222,126.928888899999
12,CGV 상봉,서울특별시 중랑구 상봉동 501번지,"서울특별시 중랑구 상봉로 131 (상봉동, 상봉듀오트리스주상복합)",37.5973459,127.0921726
13,CGV 상암,서울특별시 마포구 성산동 515번지 월드컵쇼핑몰 1층,"서울특별시 마포구 월드컵로 240, 1층 (성산동, 월드컵쇼핑몰)",37.5682588,126.8972774
