,호선,역명,전화번호,우편번호,주소,구별,lat,lng
1,1,가산디지털단지,02-2639-3332,153-803,서울특별시 금천구 벚꽃로 309,금천구,37.48089,126.8825735
3,1,개봉,02-2639-3297,152-819,서울특별시 구로구 경인로40길 47,구로구,37.494698,126.858504
6,1,광운대,02-917-7445,139-917,서울특별시 노원구 석계로 98-2,노원구,37.6237325,127.061817
7,1,구로,02-2639-3259,152-862,서울특별시 구로구 구로중앙로 174,구로구,37.5031784,126.8820367
8,1,구일,02-865-6190,152-866,서울특별시 구로구 구일로 133,구로구,37.496273,126.869599
11,1,금천구청,02-803-0019,153-839,서울특별시 금천구 시흥대로63길 91,금천구,37.455645,126.894003
12,1,남영,02-792-7788,140-807,서울특별시 용산구 한강대로77길 25,용산구,37.540597,126.971171
13,1,노량진,02-814-7788,156-800,서울특별시 동작구 노량진로 151,동작구,37.514072,126.94167
15,1,녹천,02-905-0182,139-848,서울특별시 노원구 마들로5길 114,노원구,37.644599,127.051406
17,1,대방,02-2639-3331,150-855,서울특별시 영등포구 여의대방로 300,영등포구,37.512537,126.926392
20,1,도봉,02-3493-8874,132-822,서울특별시 도봉구 도봉로170길 2,도봉구,37.679441,127.045521
21,1,도봉산,02-955-7345,132-800,서울특별시 도봉구 도봉로 964-33,도봉구,37.689596,127.0461945
24,1,독산,02-2639-3229,153-023,서울특별시 금천구 벚꽃로 115,금천구,37.4659942,126.8895083
27,1,동묘앞,02-6110-1271,110-863,서울특별시 종로구 종로 359,종로구,37.572729,127.016008
33,1,방학,02-3492-0197,132-854,서울특별시 도봉구 도봉로 150다길 3,도봉구,37.66747,127.044295
43,1,서울,02-6110-1331,100-800,서울특별시 중구 세종대로 지하2,중구,37.5536067,126.9696195
45,1,석계,02-943-7788,139-840,서울특별시 노원구 화랑로 341,노원구,37.6150815,127.0657675
56,1,시청,02-6110-1321,100-120,서울특별시 중구 세종대로 지하101,중구,37.5657037,126.9768616
57,1,신길,02-2639-3553,150-050,서울특별시 영등포구 영등포로 327,영등포구,37.517346,126.9164095
58,1,신도림,02-2639-3349,152-888,서울특별시 구로구 새말로 117-21,구로구,37.508562,126.891336
59,1,신설동,02-6110-1261,130-810,서울특별시 동대문구 왕산로 지하1,동대문구,37.575326,127.0248495
60,1,신이문,02-960-1871,130-827,서울특별시 동대문구 한천로 472,동대문구,37.601829,127.067347
67,1,영등포,02-2639-3305,150-030,서울특별시 영등포구 경인로 846,영등포구,37.5154133,126.9071288
68,1,오류동,02-2639-3417,152-894,서울특별시 구로구 경인로20길 13,구로구,37.49440000000001,126.844551
71,1,온수,02-2639-3461,152-906,서울특별시 구로구 부일로 872,구로구,37.4921505,126.8236345
73,1,외대앞,02-966-6705,130-832,서울특별시 동대문구 휘경로 27,동대문구,37.595518,127.059615
74,1,용산,02-3780-5417,140-780,서울특별시 용산구 한강대로23길 55,용산구,37.52989,126.964775
75,1,월계,02-906-2522,139-848,서울특별시 노원구 월계로53길 40,노원구,37.633114,127.058835
79,1,제기동,02-6110-1251,130-860,서울특별시 동대문구 왕산로 지하93,동대문구,37.5781758,127.0345907
81,1,종각,02-6110-1311,110-121,서울특별시 종로구 종로 지하55,종로구,37.5701664,126.9830965
82,1,종로3가,02-6110-1301,110-123,서울특별시 종로구 종로 지하129,종로구,37.5715,126.9912475
83,1,종로5가,02-6110-1291,110-835,서울특별시 종로구 종로 지하 216,종로구,37.570988,127.001921
90,1,창동,02-992-3388,132-904,서울특별시 도봉구 마들로 11길 77,도봉구,37.653454,127.047574
92,1,청량리,02-6110-1241,130-796,서울특별시 동대문구 왕산로 지하205,동대문구,37.581381,127.048958
95,1,회기,02-965-1467,130-090,서울특별시 동대문구 회기로 196,동대문구,37.58975600000001,127.057977
97,2,용답,02-6110-1341,133-849,서울특별시 성동구 용답길 86,성동구,37.56217,127.050835
98,2,신답,02-6110-1351,133-849,서울특별시 성동구 천호대로 232,성동구,37.569889,127.04701
99,2,용두,02-6110-1361,130-818,서울특별시 동대문구 천호대로 지하129,동대문구,37.573927,127.038653
100,2,신설동,02-6110-1371,130-810,서울특별시 동대문구 왕산로 지하1,동대문구,37.575326,127.0248495
101,2,시청,02-6110-2011,100-814,서울특별시 중구 서소문로 지하127,중구,37.5657037,126.9768616
102,2,을지로입구,02-6110-2021,100-843,서울특별시 중구 을지로 지하42,중구,37.566056,126.982662
103,2,을지로3가,02-6110-2031,100-846,서울특별시 중구 을지로 지하106,중구,37.566286,126.9917735
104,2,을지로4가,02-6110-2041,100-849,서울특별시 중구 을지로 지하178,중구,37.5670145,126.9978305
105,2,동대문역사문화공원,02-6110-2051,100-197,서울특별시 중구 을지로 지하279,중구,37.565102,127.007765
106,2,신당,02-6110-2061,100-450,서울특별시 중구 퇴계로 지하 431-1,중구,37.565671,127.019468
107,2,상왕십리,02-6110-2071,133-020,서울특별시 성동구 왕십리로 지하374,성동구,37.5645,127.028872
108,2,왕십리,02-6110-2081,133-866,서울특별시 성동구 왕십리로 지하300,성동구,37.5611284,127.035505
109,2,한양대,02-6110-2091,133-070,서울특별시 성동구 왕십리로 206,성동구,37.5555961,127.0436859
110,2,뚝섬,02-6110-2101,133-821,서울특별시 성동구 아차산로 18,성동구,37.54724,127.04731
111,2,성수,02-6110-2111,133-834,서울특별시 성동구 아차산로 100,성동구,37.544569,127.055974
112,2,건대입구,02-6110-2121,143-914,서울특별시 광진구 아차산로 243,광진구,37.540389,127.069236
113,2,구의,02-6110-2131,143-919,서울특별시 광진구 아차산로 384-1,광진구,37.5370464,127.0859404
114,2,강변,02-6110-2141,143-200,서울특별시 광진구 강변역로 53,광진구,37.535144,127.094672
115,2,잠실나루,02-6110-2151,138-240,서울특별시 송파구 오금로 20,송파구,37.520661,127.103822
116,2,잠실,02-6110-2161,138-889,서울특별시 송파구 올림픽로 지하265,송파구,37.5132612,127.1001336
117,2,신천,02-6110-2171,138-915,서울특별시 송파구 올림픽로 지하140,송파구,37.511624,127.085585
118,2,종합운동장,02-6110-2181,138-220,서울특별시 송파구 올림픽로 지하23,송파구,37.51105099999999,127.073774
